0   736132  695803
1   759446	717137
2	825249	775149
3	866575	819765
4	967867	916438
5	995281	941084
6	996814	942103
7	986629	935248
8	991585	937628
9	937633	887492
10	873120	828509
11	883330	839223
12	877201	837000
13	831733	790587
14	765818	730133
15	765445	733973
16	770861	735532
17	763004	726814
18	727780	702437
19	685242	660911
20	706706	677258
21	666005	641662
22	692926	670454
23	669098	652856
24	711481	687554
25	773674	730873
26	813080	762560
27	821053	780593
28	941702	905756
29	1051462	1001503
30	1197043	1153800
31	1209476	1181485
32	1256436	1237035
33	1313625	1291630
34	1295518	1287413
35	1264985	1278767
36	1231875	1241623
37	1250109	1265476
38	1165513	1191793
39	1104441	1136226
40	1169362	1209433
41	1066158	1116185
42	1046572	1114922
43	1004682	1084053
44	1009366	1094461
45	1009839	1107867
46	968352	1061590
47	937426	1030520
48	935706	1034366
49	901060	993185
50	937875	1028817
51	828104	931059
52	811042	920146
53	785892	907450
54	800529	941574
55	838950	996891
56	840290	1020923
57	890627	1094113
58	906696	1139762
59	936542	1191616
60	998402	1278975
61	893461	1198208
62	865909	1194620
63	822282	1158637
64	766991	1122932
65	744440	1128933
66	712844	1118163
67	625155	1003828
68	608200	1007143
69	562650	957503
70	551934	941903
71	520501	941308
72	414765	765967
73	385859	732060
74	326227	647155
75	194308	390313
76	134508	286348
77	117863	257736
78	154432	376620
79	219693	566298
80	225924	585915
81	214079	603004
82	192666	566109
83	183471	525594
84	130834	385390
85	101580	304826
86	67666	212123
87	53243	174838
88	56678	187562
89	46071	153668
90	51434	159062
91	30795	109710
92	26398	95630
93	20096	67655
94	15302	50427
95	11647	36786
96	8492	27115
97	5775	16787
98	4108	9914
99	3312	7596
100	9781	20639
